grid_size,rep,SS_obj,SS_time,SS_samples,RS1_obj,RS1_time,RS3_obj,RS3_time,SK_sur_obj,SK_true_obj,SK_time,SK_samples,SK_LS_obj,SK_LS_samples
3,0,3,0.002099752426147461,"[[0, 1, 0], [1, 0, 1], [0, 0, 2]]",3,3.0000460147857666,3,9.000000953674316,3.0,3,0.0023870468139648438,"[[0, 2, 0], [1, 0, 2], [2, 0, 1]]",3,"[[0, 2, 0], [1, 0, 2], [2, 0, 1]]"
3,1,2,0.0018928050994873047,"[[0, 1, 0], [1, 0, 1], [0, 0, 2]]",2,3.0000078678131104,2,9.000061988830566,2.0,2,0.001255035400390625,"[[0, 2, 0], [1, 0, 2], [2, 0, 1]]",2,"[[0, 2, 0], [1, 0, 2], [2, 0, 1]]"
